,open,high,low,close,volume
2023-04-24 09:30:00-04:00,177.39,177.9,177.25,177.4,697637
2023-04-24 09:35:00-04:00,177.41,177.56,177.2301,177.52,260764
2023-04-24 09:40:00-04:00,177.52,178.065,177.52,177.935,376354
2023-04-24 09:45:00-04:00,177.95,178.13,177.72,178.07,184683
2023-04-24 09:50:00-04:00,178.08,178.26,177.96,178.025,229543
2023-04-24 09:55:00-04:00,178.02,178.13,177.95,178.06,185419
2023-04-24 10:00:00-04:00,178.03,178.24,177.77,177.95,442800
2023-04-24 10:05:00-04:00,177.95,177.99,177.69,177.92,170210
2023-04-24 10:10:00-04:00,177.915,178.29,177.86,178.16,197140
2023-04-24 10:15:00-04:00,178.17,178.3187,178.07,178.26,118924
2023-04-24 10:20:00-04:00,178.26,178.37,178.155,178.33,193384
2023-04-24 10:25:00-04:00,178.325,178.4,178.18,178.29,302872
2023-04-24 10:30:00-04:00,178.3,178.45,178.195,178.195,177633
2023-04-24 10:35:00-04:00,178.19,178.21,177.71,177.83,242080
2023-04-24 10:40:00-04:00,177.82,177.87,177.17,177.21,503332
2023-04-24 10:45:00-04:00,177.19,177.36,177.12,177.3,201930
2023-04-24 10:50:00-04:00,177.31,177.41,177.2,177.28,153415
2023-04-24 10:55:00-04:00,177.275,177.32,177.0,177.02,109438
2023-04-24 11:00:00-04:00,177.01,177.09,176.85,177.015,227269
2023-04-24 11:05:00-04:00,177.0101,177.075,176.86,176.92,117988
2023-04-24 11:10:00-04:00,176.91,176.96,176.71,176.72,112075
2023-04-24 11:15:00-04:00,176.71,176.7399,176.57,176.71,118220
2023-04-24 11:20:00-04:00,176.73,176.75,176.575,176.62,115297
2023-04-24 11:25:00-04:00,176.61,176.79,176.565,176.68,118651
2023-04-24 11:30:00-04:00,176.69,176.95,176.66,176.925,106326
2023-04-24 11:35:00-04:00,176.91,176.9706,176.77,176.79,93649
2023-04-24 11:40:00-04:00,176.78,176.81,176.6,176.71,163340
2023-04-24 11:45:00-04:00,176.7,176.82,176.59,176.81,80713
2023-04-24 11:50:00-04:00,176.8,176.81,176.67,176.67,62242
2023-04-24 11:55:00-04:00,176.66,176.73,176.63,176.65,99335
2023-04-24 12:00:00-04:00,176.65,176.85,176.62,176.825,127157
2023-04-24 12:05:00-04:00,176.82,176.83,176.68,176.7,109699
2023-04-24 12:10:00-04:00,176.69,176.74,176.62,176.67,50845
2023-04-24 12:15:00-04:00,176.67,176.675,176.495,176.67,312988
2023-04-24 12:20:00-04:00,176.67,176.879,176.66,176.879,82665
2023-04-24 12:25:00-04:00,176.875,177.015,176.875,176.97,140032
2023-04-24 12:30:00-04:00,176.965,177.015,176.92,176.96,89055
2023-04-24 12:35:00-04:00,176.975,177.13,176.96,177.13,57091
2023-04-24 12:40:00-04:00,177.13,177.15,177.0083,177.02,161036
2023-04-24 12:45:00-04:00,177.02,177.06,176.96,177.05,69552
2023-04-24 12:50:00-04:00,177.05,177.105,176.97,177.01,58303
2023-04-24 12:55:00-04:00,177.02,177.105,177.0,177.07,61023
2023-04-24 13:00:00-04:00,177.09,177.09,176.945,177.03,35152
2023-04-24 13:05:00-04:00,177.0,177.0,176.9,176.936,48350
2023-04-24 13:10:00-04:00,176.93,177.115,176.905,177.1,92285
2023-04-24 13:15:00-04:00,177.11,177.11,176.975,177.05,45263
2023-04-24 13:20:00-04:00,177.05,177.11,177.04,177.08,29288
2023-04-24 13:25:00-04:00,177.09,177.235,177.09,177.21,61441
2023-04-24 13:30:00-04:00,177.22,177.37,177.21,177.23,70367
2023-04-24 13:35:00-04:00,177.235,177.389,177.2,177.33,71212
2023-04-24 13:40:00-04:00,177.34,177.43,177.33,177.42,142145
