,Position,Entry Time,Entry Price,Exit Time,Exit Price,PnL
0,1.0,2019-05-28 12:30:00+00:00,109.33,2019-05-28 12:45:00+00:00,109.37,0.04000000000000625
1,1.0,2019-05-29 10:15:00+00:00,108.13,2019-05-29 13:00:00+00:00,107.63,-0.5
2,1.0,2019-05-31 09:45:00+00:00,105.59,2019-05-31 10:00:00+00:00,105.97,0.37999999999999545
3,1.0,2019-06-04 10:30:00+00:00,108.44,2019-06-04 13:15:00+00:00,109.21,0.769999999999996
4,1.0,2019-06-04 14:00:00+00:00,109.48,2019-06-04 14:30:00+00:00,109.34,-0.14000000000000057
5,1.0,2019-06-04 15:30:00+00:00,109.63,2019-06-07 12:45:00+00:00,109.5,-0.12999999999999545
6,1.0,2019-06-07 13:00:00+00:00,109.7,2019-06-07 15:30:00+00:00,109.27,-0.4300000000000068
7,1.0,2019-06-12 13:15:00+00:00,109.13,2019-06-14 11:15:00+00:00,108.93,-0.19999999999998863
8,1.0,2019-06-17 09:45:00+00:00,109.36,2019-06-17 10:45:00+00:00,110.25,0.8900000000000006
9,1.0,2019-06-17 12:00:00+00:00,110.12,2019-06-17 13:45:00+00:00,109.76,-0.35999999999999943
10,1.0,2019-06-18 16:00:00+00:00,110.77,2019-06-19 10:00:00+00:00,111.46,0.6899999999999977
11,1.0,2019-06-19 11:00:00+00:00,111.12,2019-06-19 12:15:00+00:00,111.16,0.03999999999999204
12,1.0,2019-06-19 12:45:00+00:00,110.99,2019-06-20 10:30:00+00:00,109.83,-1.1599999999999966
13,1.0,2019-06-20 10:45:00+00:00,109.8,2019-06-20 15:15:00+00:00,109.97,0.1700000000000017
14,1.0,2019-06-21 15:00:00+00:00,110.45,2019-06-24 11:15:00+00:00,109.39,-1.0600000000000023
15,1.0,2019-06-24 11:30:00+00:00,109.26,2019-06-24 13:15:00+00:00,109.19,-0.07000000000000739
16,1.0,2019-06-24 13:30:00+00:00,109.2,2019-06-24 13:45:00+00:00,109.41,0.20999999999999375
17,1.0,2019-06-24 14:45:00+00:00,109.15,2019-06-25 11:00:00+00:00,108.39,-0.7600000000000051
18,1.0,2019-06-25 12:45:00+00:00,108.71,2019-06-27 09:45:00+00:00,109.19,0.480000000000004
19,1.0,2019-06-27 11:00:00+00:00,109.11,2019-06-28 09:45:00+00:00,111.85,2.739999999999995
20,1.0,2019-06-28 10:15:00+00:00,111.23,2019-07-01 09:45:00+00:00,113.66,2.4299999999999926
21,1.0,2019-07-01 10:15:00+00:00,114.4,2019-07-02 10:00:00+00:00,113.93,-0.46999999999999886
22,1.0,2019-07-02 11:00:00+00:00,113.72,2019-07-02 12:00:00+00:00,113.82,0.09999999999999432
23,1.0,2019-07-02 12:30:00+00:00,113.31,2019-07-02 13:00:00+00:00,113.67,0.35999999999999943
24,1.0,2019-07-02 13:15:00+00:00,113.72,2019-07-02 13:30:00+00:00,113.81,0.09000000000000341
25,1.0,2019-07-02 14:45:00+00:00,113.71,2019-07-02 16:00:00+00:00,113.81,0.10000000000000853
26,1.0,2019-07-03 09:45:00+00:00,112.77,2019-07-05 09:45:00+00:00,112.75,-0.01999999999999602
27,1.0,2019-07-08 11:30:00+00:00,113.33,2019-07-08 11:45:00+00:00,113.22,-0.10999999999999943
28,1.0,2019-07-08 12:30:00+00:00,113.21,2019-07-08 15:30:00+00:00,112.9,-0.30999999999998806
29,1.0,2019-07-09 11:45:00+00:00,113.03,2019-07-09 12:15:00+00:00,113.0,-0.030000000000001137
30,1.0,2019-07-12 15:15:00+00:00,115.05,2019-07-15 09:45:00+00:00,114.24,-0.8100000000000023
31,1.0,2019-07-22 13:15:00+00:00,113.85,2019-07-22 13:30:00+00:00,113.94,0.09000000000000341
32,1.0,2019-07-23 09:45:00+00:00,115.95,2019-07-23 12:00:00+00:00,116.07,0.11999999999999034
33,1.0,2019-07-23 12:15:00+00:00,116.14,2019-07-24 09:45:00+00:00,116.43,0.29000000000000625
34,1.0,2019-07-24 11:30:00+00:00,116.49,2019-07-24 12:15:00+00:00,116.58,0.09000000000000341
35,1.0,2019-07-24 14:30:00+00:00,116.69,2019-07-24 15:00:00+00:00,116.73,0.04000000000000625
36,1.0,2019-07-24 15:15:00+00:00,116.63,2019-07-24 15:30:00+00:00,116.69,0.060000000000002274
37,1.0,2019-07-25 10:15:00+00:00,116.41,2019-07-25 11:15:00+00:00,116.66,0.25
38,1.0,2019-07-25 11:45:00+00:00,116.12,2019-07-25 13:45:00+00:00,115.69,-0.4300000000000068
39,1.0,2019-07-25 15:00:00+00:00,115.43,2019-07-25 15:45:00+00:00,115.79,0.35999999999999943
40,1.0,2019-07-26 10:30:00+00:00,115.69,2019-07-26 10:45:00+00:00,115.87,0.18000000000000682
41,1.0,2019-07-30 11:00:00+00:00,115.37,2019-07-30 11:30:00+00:00,115.32,-0.05000000000001137
42,1.0,2019-07-30 13:00:00+00:00,115.39,2019-07-30 13:15:00+00:00,115.47,0.0799999999999983
43,1.0,2019-07-30 13:30:00+00:00,115.58,2019-07-30 13:45:00+00:00,115.64,0.060000000000002274
44,1.0,2019-07-30 15:30:00+00:00,115.64,2019-07-31 11:15:00+00:00,115.48,-0.1599999999999966
45,1.0,2019-07-31 13:15:00+00:00,115.59,2019-07-31 13:30:00+00:00,115.67,0.0799999999999983
46,1.0,2019-07-31 14:30:00+00:00,115.47,2019-07-31 15:30:00+00:00,116.03,0.5600000000000023
47,1.0,2019-08-01 10:00:00+00:00,116.7,2019-08-02 09:45:00+00:00,112.52,-4.180000000000007
48,1.0,2019-08-05 10:00:00+00:00,110.28,2019-08-05 10:15:00+00:00,109.88,-0.4000000000000057
49,1.0,2019-08-05 15:30:00+00:00,108.99,2019-08-07 09:45:00+00:00,106.61,-2.3799999999999955
50,1.0,2019-08-07 10:00:00+00:00,106.76,2019-08-13 10:00:00+00:00,109.8,3.039999999999992
51,1.0,2019-08-13 10:15:00+00:00,109.27,2019-08-14 09:45:00+00:00,106.44,-2.8299999999999983
52,1.0,2019-08-14 10:00:00+00:00,106.79,2019-08-19 10:15:00+00:00,108.51,1.7199999999999989
53,1.0,2019-08-23 09:45:00+00:00,108.13,2019-08-26 15:00:00+00:00,106.61,-1.519999999999996
54,1.0,2019-08-27 15:15:00+00:00,105.84,2019-08-28 12:45:00+00:00,106.58,0.7399999999999949
55,1.0,2019-08-28 15:00:00+00:00,106.95,2019-09-05 09:45:00+00:00,112.46,5.509999999999991
56,1.0,2019-09-05 10:15:00+00:00,113.47,2019-09-06 10:30:00+00:00,112.66,-0.8100000000000023
57,1.0,2019-09-06 11:30:00+00:00,112.62,2019-09-06 11:45:00+00:00,112.65,0.030000000000001137
